"subject_id","response","image_path","scale","high_end_label"
"00gjwepau4","-104","images/D96.png","FineCoarse","Coarse"
"00gjwepau4","-67","images/D8.png","FineCoarse","Coarse"
"00gjwepau4","-147","images/D11.png","FineCoarse","Coarse"
"00gjwepau4","-200","images/D35.png","FineCoarse","Coarse"
"00gjwepau4","-129","images/D103.png","FineCoarse","Coarse"
"00gjwepau4","-6","images/D81.png","FineCoarse","Coarse"
"00gjwepau4","-72","images/D77.png","FineCoarse","Coarse"
"00gjwepau4","-42","images/D106.png","FineCoarse","Coarse"
"00gjwepau4","114","images/D57.png","FineCoarse","Coarse"
"00gjwepau4","34","images/D49.png","FineCoarse","Coarse"
"00gjwepau4","85","images/D92.png","FineCoarse","Coarse"
"00gjwepau4","65","images/D22.png","FineCoarse","Coarse"
"00gjwepau4","29","images/D17.png","FineCoarse","Coarse"
"00gjwepau4","38","images/D104.png","FineCoarse","Coarse"
"00gjwepau4","-28","images/D78.png","FineCoarse","Coarse"
"00gjwepau4","1","images/D111.png","FineCoarse","Coarse"
"00gjwepau4","-19","images/D68.png","FineCoarse","Coarse"
"00gjwepau4","32","images/D19.png","FineCoarse","Coarse"
"00gjwepau4","55","images/D9.png","FineCoarse","Coarse"
"00gjwepau4","22","images/D16.png","FineCoarse","Coarse"
"00gjwepau4","21","images/D21.png","FineCoarse","Coarse"
"00gjwepau4","158","images/D18.png","FineCoarse","Coarse"
"00gjwepau4","119","images/D65.png","FineCoarse","Coarse"
"00gjwepau4","-46","images/D37.png","FineCoarse","Coarse"
"00gjwepau4","173","images/D74.png","FineCoarse","Coarse"
"00gjwepau4","90","images/D14.png","FineCoarse","Coarse"
"00gjwepau4","143","images/D94.png","FineCoarse","Coarse"
"00gjwepau4","89","images/D80.png","FineCoarse","Coarse"
"00gjwepau4","156","images/D25.png","FineCoarse","Coarse"
"00gjwepau4","154","images/D84.png","FineCoarse","Coarse"
"00gjwepau4","113","images/D64.png","FineCoarse","Coarse"
"00gjwepau4","113","images/D56.png","FineCoarse","Coarse"
"00gjwepau4","51","images/D47.png","FineCoarse","Coarse"
"00gjwepau4","-52","images/D46.png","FineCoarse","Coarse"
"00gjwepau4","-102","images/D51.png","FineCoarse","Coarse"
"00gjwepau4","110","images/D66.png","FineCoarse","Coarse"
"00gjwepau4","70","images/D20.png","FineCoarse","Coarse"
"00gjwepau4","112","images/D24.png","FineCoarse","Coarse"
"00gjwepau4","112","images/D101.png","FineCoarse","Coarse"
"00gjwepau4","110","images/D3.png","FineCoarse","Coarse"
"00gjwepau4","154","images/D26.png","FineCoarse","Coarse"
"00gjwepau4","157","images/D4.png","FineCoarse","Coarse"
"00gjwepau4","118","images/D1.png","FineCoarse","Coarse"
"00gjwepau4","97","images/D32.png","FineCoarse","Coarse"
"00gjwepau4","151","images/D36.png","FineCoarse","Coarse"
"00gjwepau4","67","images/D79.png","FineCoarse","Coarse"
"00gjwepau4","-83","images/D105.png","FineCoarse","Coarse"
"00gjwepau4","46","images/D53.png","FineCoarse","Coarse"
"00gjwepau4","177","images/D87.png","FineCoarse","Coarse"
"00gjwepau4","135","images/D52.png","FineCoarse","Coarse"
"00gjwepau4","-77","images/D48.png","FineCoarse","Coarse"
"00gjwepau4","89","images/D34.png","FineCoarse","Coarse"
"00gjwepau4","-62","images/D76.png","FineCoarse","Coarse"
"00gjwepau4","150","images/D29.png","FineCoarse","Coarse"
"00gjwepau4","109","images/D82.png","FineCoarse","Coarse"
"00gjwepau4","82","images/D55.png","FineCoarse","Coarse"
"00gjwepau4","76","images/D83.png","FineCoarse","Coarse"
"00gjwepau4","68","images/D6.png","FineCoarse","Coarse"
"00gjwepau4","68","images/D85.png","FineCoarse","Coarse"
"00gjwepau4","155","images/D75.png","FineCoarse","Coarse"
"00gjwepau4","166","images/D95.png","FineCoarse","Coarse"
"00gjwepau4","90","images/D102.png","FineCoarse","Coarse"
"00gjwepau4","86","images/D66.png","RoundedRectangular","Rounded"
"00gjwepau4","-90","images/D80.png","RoundedRectangular","Rounded"
"00gjwepau4","118","images/D74.png","RoundedRectangular","Rounded"
"00gjwepau4","-200","images/D25.png","RoundedRectangular","Rounded"
"00gjwepau4","-87","images/D64.png","RoundedRectangular","Rounded"
"00gjwepau4","200","images/D75.png","RoundedRectangular","Rounded"
"00gjwepau4","-199","images/D1.png","RoundedRectangular","Rounded"
"00gjwepau4","1","images/D68.png","RoundedRectangular","Rounded"
"00gjwepau4","3","images/D21.png","RoundedRectangular","Rounded"
"00gjwepau4","3","images/D6.png","RoundedRectangular","Rounded"
"00gjwepau4","-34","images/D79.png","RoundedRectangular","Rounded"
"00gjwepau4","-49","images/D14.png","RoundedRectangular","Rounded"
"00gjwepau4","-49","images/D36.png","RoundedRectangular","Rounded"
"00gjwepau4","-51","images/D18.png","RoundedRectangular","Rounded"
"00gjwepau4","-51","images/D9.png","RoundedRectangular","Rounded"
"00gjwepau4","68","images/D92.png","RoundedRectangular","Rounded"
"00gjwepau4","-200","images/D94.png","RoundedRectangular","Rounded"
"00gjwepau4","-50","images/D57.png","RoundedRectangular","Rounded"
"00gjwepau4","-45","images/D49.png","RoundedRectangular","Rounded"
"00gjwepau4","-59","images/D78.png","RoundedRectangular","Rounded"
